"","station","strata","transect","tran_length"
"1","LCO10A","N_Y",1,22
"2","LCO11B","N_Y",1,22
"3","LCO12","N_Y",1,22
"4","LCO15","N_Y",1,22
"5","LCO7","N_Y",1,28.5
"6","LCO9C","N_Y",1,22
"7","LCO10A","N_Y",2,22
"8","LCO11B","N_Y",2,22
"9","LCO12","N_Y",2,22
"10","LCO7","N_Y",2,28.5
"11","LCO9C","N_Y",2,22
"12","LCO10A","N_Y",3,22
"13","LCO11B","N_Y",3,22
"14","LCO12","N_Y",3,22
"15","LCO15","N_Y",3,22
"16","LCO7","N_Y",3,27.4
"17","LCO9C","N_Y",3,22
"18","LCO10A","N_Y",4,22
"19","LCO11B","N_Y",4,27.2
"20","LCO12","N_Y",4,22
"21","LCO13","N_Y",4,22
"22","LCO15","N_Y",4,22.5
"23","LCO7","N_Y",4,28.7
"24","LCO9C","N_Y",4,22
"25","LCO10A","N_Y",5,22
"26","LCO11B","N_Y",5,27.4
"27","LCO12","N_Y",5,22
"28","LCO13","N_Y",5,22
"29","LCO15","N_Y",5,24.5
"30","LCO7","N_Y",5,28.7
"31","LCO9C","N_Y",5,22
"32","LCO10A","N_Y",6,28.2
"33","LCO11B","N_Y",6,26.5
"34","LCO13","N_Y",6,21.5
"35","LCO10A","N_Y",7,27
"36","LCO11B","N_Y",7,25.2
"37","LCO11B","N_Y",8,27.3
"38","LCO16","N_Y",8,20.5
"39","LCO16","N_Y",9,21.8
"40","LCO16","N_Y",10,22.2
"41","LCO11B","N_Y",11,27.5
"42","LCO12","N_Y",11,28.4
"43","LCO16","N_Y",11,22.1
"44","LCO12","N_Y",12,29.5
"45","LCO15","N_Y",12,22.5
"46","LCO12","N_Y",13,29.6
"47","LCO15","N_Y",13,25
"48","LCO12","N_Y",14,28.7
"49","LCO15","N_Y",14,22.5
"50","LCO12","N_Y",15,29
"51","LCO12","N_Y",16,28.4
"52","LCO9B","N_Y",16,27.2
"53","LCO9B","N_Y",17,27.9
"54","LCO9B","N_Y",18,27.8
